state_code,month_year,employment_rate
01,2019-12,0.9746518055032106
01,2019-11,0.9756148948228156
01,2019-10,0.9746478698182564
01,2019-09,0.974288585778374
01,2019-08,0.9702854929367045
01,2019-07,0.9688635896029079
01,2019-06,0.9672444268331233
01,2019-05,0.9752100286966797
01,2019-04,0.9736170791308735
01,2019-03,0.965579830316586
01,2019-02,0.9617477497955372
01,2019-01,0.9581196646413306
01,2018-12,0.9653936754623269
01,2018-11,0.9670779147510213
01,2018-10,0.9639112186799879
01,2018-09,0.9639480201991983
01,2018-08,0.9595284859842372
01,2018-07,0.9579544139973797
01,2018-06,0.9543782136804044
01,2018-05,0.965081777702629
01,2018-04,0.9654426052650871
01,2018-03,0.9598095341454812
01,2018-02,0.9564376509118407
01,2018-01,0.9565388742310773
01,2017-12,0.963353803585479
01,2017-11,0.9636284786485081
01,2017-10,0.962791313559322
01,2017-09,0.9627411374205931
01,2017-08,0.9572097527984988
01,2017-07,0.9543548404768165
01,2017-06,0.9522134632018661
01,2017-05,0.9606075578181391
01,2017-04,0.958752885168577
01,2017-03,0.950932827833349
01,2017-02,0.9439053078416773
01,2017-01,0.940032853930397
01,2016-12,0.945532064669674
01,2016-11,0.9456833167512816
01,2016-10,0.9414282685660265
01,2016-09,0.941785142163733
01,2016-08,0.9401004346967909
01,2016-07,0.9396282047823147
01,2016-06,0.937729651308676
01,2016-05,0.9466847368887245
01,2016-04,0.9468167028448438
01,2016-03,0.9405212275989931
01,2016-02,0.9375614627126593
01,2016-01,0.936537708088462
01,2015-12,0.9418220998952561
01,2015-11,0.9427702224500711
01,2015-10,0.9414137207225594
01,2015-09,0.9411550022367886
01,2015-08,0.9360686204564282
01,2015-07,0.9347804142115751
01,2015-06,0.9337693369132617
01,2015-05,0.9404902646476323
01,2015-04,0.9444976447876983
01,2015-03,0.9408476071983221
01,2015-02,0.9369629902430892
01,2015-01,0.9355018278342639
01,2014-12,0.9421979419278672
01,2014-11,0.9409998701346889
01,2014-10,0.9384805036208715
01,2014-09,0.9369470036849336
01,2014-08,0.9299951480496136
01,2014-07,0.926213217879481
01,2014-06,0.9263768791794286
01,2014-05,0.934544488343615
01,2014-04,0.9375106502782038
01,2014-03,0.9272148900729474
01,2014-02,0.922281902279938
01,2014-01,0.9235942052121163
01,2013-12,0.9320540466438061
01,2013-11,0.9321711760621639
01,2013-10,0.9301453950820537
01,2013-09,0.9285847291230722
01,2013-08,0.9253868980274088
01,2013-07,0.9237337296501872
01,2013-06,0.9229643847107739
01,2013-05,0.9335808175699428
01,2013-04,0.9370366139469068
01,2013-03,0.929188227022558
01,2013-02,0.9207436260266361
01,2013-01,0.9182023151180941
01,2012-12,0.9279624508912299
01,2012-11,0.9312090560230045
01,2012-10,0.924592220713535
01,2012-09,0.9239585327952159
01,2012-08,0.9147515218431687
01,2012-07,0.9100208065699397
01,2012-06,0.91029136065576
01,2012-05,0.921910279720055
01,2012-04,0.9277943353299446
01,2012-03,0.920596392779665
01,2012-02,0.9156938980309719
01,2012-01,0.9172788359380156
01,2011-12,0.9209596742879069
01,2011-11,0.9197018461308817
01,2011-10,0.9114257618128825
01,2011-09,0.9054702595459513
01,2011-08,0.900407994272554
01,2011-07,0.8964963548500193
01,2011-06,0.894155171692141
01,2011-05,0.9039764850733345
01,2011-04,0.905943392545557
01,2011-03,0.9008560487616976
01,2011-02,0.8947237369474478
01,2011-01,0.8900511644574431
01,2010-12,0.9018560761763657
01,2010-11,0.8999396137709379
01,2010-10,0.9012818890560529
01,2010-09,0.9017883803533262
01,2010-08,0.8985694374645229
01,2010-07,0.8981285877006011
01,2010-06,0.8946106903508402
01,2010-05,0.9009053373747249
01,2010-04,0.8958949013521696
01,2010-03,0.8851187772300642
01,2010-02,0.8788035866552599
01,2010-01,0.8766482995379726
01,2009-12,0.8863442572726868
01,2009-11,0.8889884758357393
01,2009-10,0.8829429950813582
01,2009-09,0.8852491094415502
01,2009-08,0.881257699307345
01,2009-07,0.8824884232113179
01,2009-06,0.881097945234255
01,2009-05,0.8943201760160162
01,2009-04,0.9008929628642897
01,2009-03,0.8961213945752976
01,2009-02,0.8950868259185117
01,2009-01,0.903466746514955
01,2008-12,0.9244141287386725
01,2008-11,0.9330111436691385
01,2008-10,0.9371217762164601
01,2008-09,0.9412388194583017
01,2008-08,0.9379769530945492
01,2008-07,0.9397479458853163
01,2008-06,0.9414055471358961
01,2008-05,0.9511180808329328
01,2008-04,0.9601414730098018
01,2008-03,0.9534190064128111
01,2008-02,0.9506402147305212
01,2008-01,0.9517793711550787
01,2007-12,0.9573594863521772
01,2007-11,0.9611354253512288
01,2007-10,0.9623859217358693
01,2007-09,0.9595558314366508
01,2007-08,0.9573227081208429
01,2007-07,0.9564708168068212
01,2007-06,0.9575276992270856
01,2007-05,0.9666167120273322
01,2007-04,0.9674876057044591
01,2007-03,0.9624158378351552
01,2007-02,0.9577114829067647
01,2007-01,0.9571077832552282
01,2006-12,0.9625329882778875
01,2006-11,0.9632393580030013
01,2006-10,0.9637710409325431
01,2006-09,0.9610013788277241
01,2006-08,0.95566293962748
01,2006-07,0.9536060643007289
01,2006-06,0.9544913247097431
01,2006-05,0.9642109009109876
01,2006-04,0.9645149320012909
01,2006-03,0.9608627080908722
01,2006-02,0.9550574181325412
01,2006-01,0.956276562874844
01,2005-12,0.9612695618894782
01,2005-11,0.9599262117003863
01,2005-10,0.9578454267803789
01,2005-09,0.9573349528004449
01,2005-08,0.9547619590024878
01,2005-07,0.9533649710838763
01,2005-06,0.9502907837012697
01,2005-05,0.9597648042315745
01,2005-04,0.9609437883571431
01,2005-03,0.9543469046249151
01,2005-02,0.9456359570389039
01,2005-01,0.9462164402612421
01,2004-12,0.9507446107414902
01,2004-11,0.9482022161127622
01,2004-10,0.9446501434118042
01,2004-09,0.9442198425037462
01,2004-08,0.9407386730175505
01,2004-07,0.9404042788247339
01,2004-06,0.9385747495573018
01,2004-05,0.9462513890720057
01,2004-04,0.9475171687023927
01,2004-03,0.940729333161488
01,2004-02,0.9385514644572472
01,2004-01,0.9364917458085344
01,2003-12,0.9431563642908466
01,2003-11,0.938739372645323
01,2003-10,0.9392127597813725
01,2003-09,0.9403466185979831
01,2003-08,0.9360258335071232
01,2003-07,0.9366669701620052
01,2003-06,0.931339373941813
01,2003-05,0.9441871764116424
01,2003-04,0.9467403119883051
01,2003-03,0.9442931068521443
01,2003-02,0.9396124549282054
01,2003-01,0.938239067831244
01,2002-12,0.9428473727171802
01,2002-11,0.9421777826695151
01,2002-10,0.9440595508462691
01,2002-09,0.9426682453232299
01,2002-08,0.9383823815465487
01,2002-07,0.9379531399588101
01,2002-06,0.9370390816110695
01,2002-05,0.9476244248547052
01,2002-04,0.9471514442130188
01,2002-03,0.9400693334780359
01,2002-02,0.9366628229694014
01,2002-01,0.9354819866664369
02,2019-12,0.9389293762987678
02,2019-11,0.9391236247499877
02,2019-10,0.9428301968920938
02,2019-09,0.9446541962302014
02,2019-08,0.9468573640913471
02,2019-07,0.9438895278087955
02,2019-06,0.93732667775929
02,2019-05,0.9396791339542595
02,2019-04,0.9371136720796228
02,2019-03,0.9320265112545318
02,2019-02,0.9296504100129478
02,2019-01,0.9307966623361903
02,2018-12,0.9373193714851645
